No,Student ID,Last name,First name,DOB,Gender,Social ID
1,21125032,HOANG THE,ANH,1/1/2003,male,211125698
2,21125035,PHAN TRUNG,DUC,2/1/2003,male,211125699
3,21125039,DINH QUANG,HIEU,3/1/2003,male,211125700
4,21125041,DANG HOANG NHAT,HUNG,4/1/2003,female,211125701
5,21125044,NGUYEN MINH,KHA,5/1/2003,female,211125702
6,21125045,HUA TRUONG,KHA,6/1/2003,female,211125703
7,21125052,PHAM VO QUYNH,NHU,7/1/2003,female,211125704
8,21125053,THI HONG,NHUT,8/1/2003,female,211125705
9,21125056,VO THANH,PHUC,9/1/2003,female,211125706
10,21125057,NGO THAI,PHUNG,10/1/2003,female,211125707
11,21125062,MAI KIEN,QUOC,11/1/2003,female,211125708
12,21125063,PHAM VAN TAN,SANG,12/1/2003,female,211125709
13,21125064,PHAM GIA,THINH,13/01/2003,female,211125710
14,21125065,NGUYEN DINH NGOC,TRI,14/01/2003,female,211125711
15,21125066,TRAN THI MY,TUYEN,15/01/2003,male,211125712
16,21125067,NGUYEN MINH,VI,16/01/2003,male,211125713
17,21125070,TRAN MINH,KHANH,17/01/2003,male,211125714
18,21125071,HO VIET BAO,LONG,18/01/2003,male,211125715
19,21125074,TRINH TRAN,TRAN,19/01/2003,male,211125716
20,21125075,NGO HA,DINH,20/01/2003,male,211125717
21,21125079,NGUYEN NGOC,LONG,21/01/2003,male,211125718
22,21125080,QUAN PHU,LONG,22/01/2003,male,211125719
23,21125081,NGUYEN SI,MINH,23/01/2003,male,211125720
24,21125089,LUU VAN,PHUC,24/01/2003,male,211125721
25,21125097,NGUYEN DINH,TRIET,25/01/2003,male,211125722
26,21125105,LE TA HOANG,CHUONG,26/01/2003,male,211125723
27,21125111,NGUYEN XUAN,HOA,27/01/2003,male,211125724
28,21125124,DUONG PHUC,NGUYEN,28/01/2003,male,211125725
29,21125126,VO TRAN HA,NGUYEN,29/01/2003,male,211125726
30,21125131,HUYNH HOANG,PHUC,30/01/2003,male,211125727
31,21125132,NGUYEN HOANG,PHUC,31/01/2003,female,211125728
32,21125139,TRAN HOANG,THI,1/2/2003,female,211125729
33,21125140,NGUYEN HUYNH VIET,THONG,2/2/2003,female,211125730
34,21125142,VO QUANG,TRUONG,3/2/2003,female,211125731
35,21125143,NGUYEN XUAN,TUNG,4/2/2003,female,211125732
36,21125145,VUONG QUANG VIET,TUNG,5/2/2003,female,211125733
37,21125146,NGUYEN PHUC BAO,UYEN,6/2/2003,female,211125734
38,21125157,TO QUYNH,CHI,7/2/2003,male,211125735
39,21125158,LE TRUONG,THO,8/2/2003,male,211125736
40,21125160,NGUYEN HUU,HAO,9/2/2003,male,211125737
41,21125162,TO PHUOC,HUNG,10/2/2003,male,211125738
42,21125163,NGUYEN TRUNG,HUY,11/2/2003,male,211125739
43,21125164,NGUYEN LE DANG,KHOA,12/2/2003,male,211125740
44,21125165,TRAN HAI,NAM,13/02/2003,male,211125741
45,21125168,NGUYEN VAN,HIEU,14/02/2003,male,211125742
46,21125169,LAM KHANH,HOA,15/02/2003,male,211125743
